Campo,Descripción,Tipo,Valor,,Observaciones
,,,5,Suspension sin pago,
,,,6,Otras causas laborales y volvera a lo sumo en un mes,
,,,7,Otras causas laborales y volvera en mas de un mes,
,,,22,Otra,
V_5b_porque_no_trabajo_otro,"Especifique el motivo sí la respuesta a la pregunta V_5 es ""Otra""",Texto,,,
V_6_porque_no_tiene_empleo,No tiene empleo y/o trabajo porque es…,Númerica,1,Amo/a de casa,
,,,2,Estudiante tiempo completo,
,,,3,Rentista (vive de rentas),
,,,4,Jubilado/a,
,,,5,Pensionado/a,
,,,6,Discapacidad permanente,
,,,7,Desocupado/a,
,,,22,Otro,
V_6b_porque_no_tiene_empleo_otro,"Especifique el motivo sí la respuesta a la pregunta V_6 es ""Otro""",Texto,,,
V_7_trabaja_como,"¿En este empleo, trabajo u ocupacion principal (si tiene mas de una, aquella que habitualmente le lleva mas horas), trabaja…",Númerica,1,Para su propio negocio/empresa/actividad? (Dueño o patron),
,,,2,Como obrero o empleado para un patron/empresa/institucion (incluye agencia de empleo),
,,,3,Como trabajador familiar sin pago?,
,,,4,Personal domesticos?,
V_8_forma_aporte,En este empleo o trabajo…,Númerica,1,¿Le descuentan para la jubilacion?,
,,,2,¿Aporta por si mismo para la jubilacion?,
,,,3,¿No le descuentan ni aporta?,
,,,4,¿No aporta porque es jubilado/a?,
V_9_ambito_laboral,¿Cuál es el ambito de trabajo?,Númerica,1,Estado,
,,,2,Actividad privada,
,,,3,Cooperativa o mutual,
,,,4,Ambito familiar,
,,,22,Otro,
V_9b_ambito_laboral_otro,"Especifique el motivo sí la respuesta a la pregunta V_9 es ""Otro""",Texto,,,
V_10_cobertura,¿ Que cobertura de salud tiene?,Númerica,1,Obra social (Incluye PAMI),
,,,2,Medicina prepaga o a traves de obra social,
,,,3,Mutual o cooperativa a traves de obra social,
,,,4,Prepaga solo por contratacion voluntaria,
,,,5,"No tiene obra social, prepaga o plan social ( no tiene afiliación)",
V_11_lugar_atencion,Por temas de salud se atiende principalmente en: (Elija la opcion que Ud. Normalmente más utiliza),Númerica,1,Hospital publico,
,,,2,Clinica y/o sanatorio,
,,,3,Consultorios particulares,
,,,4,Salita de barrio,
,,,5,No se atiende,
,,,22,Otro,
V_12_AM,¿Posee licencia de conducir vigente?,Númerica,1,Si,Se modificaron aquellos valores en cero por 2 para todos los menores de 16 años
,,,2,No,
VI_2_viajo_ayer,"Entre las 4 am del dia de AYER y las 4 am del dia de HOY, ¿realizó algun viaje?",Númerica,1,Si,
,,,2,No,
VI_3_motivos_no_viajo_ayer,¿Por qué razón no realizó viajes en el dia de ayer?,Númerica,1,No tuvo necesidad de viajar,
,,,2,Estuvo enfermo,
,,,3,Tuvo vacaciones/ Franco,
,,,4,No trabajo,
,,,5,No tuvo dinero para viajar,
,,,6,No habia transporte disponible,
,,,7,Trabaja en su casa,
,,,8,Hubo para/ Huelga,
,,,9,No tiene transporte adecuado por tener una discapacidad,
,,,10,No tuvo clases,
,,,11,Estuvo fuera del area,
,,,22,Otro,
